"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene1",51.3260380127527,-0.0413767920681657,0.655478280939054,-0.063124581349802,0.949667300243391,0.997481675014976
"gene2",111.999930256937,-0.918139150644612,0.545222537300693,-1.68397138385029,0.0921871992249996,0.997481675014976
"gene3",12.6011545915687,0.0496129238471722,1.21097214838282,0.0409695003418758,0.967320210639895,0.997481675014976
"gene4",7.2761417339925,0.630386381854431,1.50754716206073,0.418153672215952,0.675834765271295,0.997481675014976
"gene5",5.12363232533212,1.35884516509785,1.80768043899871,0.751706516142047,0.452227570922425,0.997481675014976
"gene6",1.92762475431001,-0.695535408387336,2.70690262865163,-0.256948809693165,0.797218290465836,0.997481675014976
"gene7",184.402934985903,0.327946348440991,0.485266169095769,0.675807153529941,0.499163092292302,0.997481675014976
"gene8",4.61777001363763,0.497163508482432,1.83782784881608,0.270516908753288,0.786762610377509,0.997481675014976
"gene9",13.4171023876174,-1.83270209127479,1.21066660360296,-1.51379585909172,0.130077623202343,0.997481675014976
"gene10",331.325008079971,0.71918517384206,0.418268796883547,1.71943300384966,0.0855355569841888,0.997481675014976
"gene11",1.91424440159951,-1.54449620559366,3.01297202852377,-0.512615514174023,0.60822029871348,0.997481675014976
"gene12",98.5594681650951,0.331757431980238,0.568531941054834,0.583533497457868,0.559534213871476,0.997481675014976
"gene13",338.984176761433,-0.30369592635683,0.428987846926885,-0.707935967259674,0.478985022746428,0.997481675014976
"gene14",7.51805437662347,0.317734165495885,1.46917836196452,0.216266570296492,0.828779965486258,0.997481675014976
"gene15",37.8818123205188,0.380947584871089,0.758450568266177,0.502270814750575,0.615477035937146,0.997481675014976
"gene16",9.91250488097456,-0.016770450695189,1.49302501659964,-0.0112325316111472,0.991037924906285,0.997481675014976
"gene17",0.728757478419496,1.04509403329352,4.52457725373857,0.230981586717295,0.817329106935696,0.997481675014976
"gene18",60.7097822331684,-0.0377100800622521,0.627333925670932,-0.0601116542867043,0.952066707971116,0.997481675014976
"gene19",62.3374478980876,-0.50380527569897,0.625867383869074,-0.804971290538383,0.420836247146293,0.997481675014976
"gene20",12.2919481441854,-0.361745247909375,1.30997423513785,-0.276146841828005,0.782435284274269,0.997481675014976
"gene21",24.6590411745068,1.57132896059987,0.881167982627913,1.78323428855607,0.0745481730429626,0.997481675014976
"gene22",1.93918815526426,1.62591051908335,3.28122448576917,0.495519439811267,0.620233503222189,0.997481675014976
"gene23",10.4970596403876,-2.92308687798318,1.54463837302645,-1.89240855919946,0.0584365665060433,0.997481675014976
"gene24",2.88478417189819,-2.27428999127268,2.52190685710103,-0.901813635530935,0.367155875171156,0.997481675014976
"gene25",183.131970019406,0.470537653515577,0.466724531839079,1.00816996197194,0.313372875577582,0.997481675014976
"gene26",170.762270253758,-0.477542424575144,0.484841116115256,-0.984946219910985,0.324650488444523,0.997481675014976
"gene27",13.1241008087188,0.805649106374634,1.13870579513175,0.707512958851166,0.479247762429277,0.997481675014976
"gene28",15.2111940659023,-0.66431180271969,1.11259615258024,-0.59708259926935,0.550452234821843,0.997481675014976
"gene29",0.247461600191988,1.49200410030153,4.99629087968675,0.298622345301696,0.765228213905693,0.997481675014976
"gene30",3.41021381556553,2.6112940003013,2.69296488388692,0.969672503316219,0.332209760515037,0.997481675014976
"gene31",0.474293557050396,-2.39178185827302,4.89289911781093,-0.488827135136827,0.624964085372321,0.997481675014976
"gene32",15.7667391005976,0.621858586642691,1.09489352202935,0.567962613834902,0.570060354195179,0.997481675014976
"gene33",17.2561579471611,0.822475504613147,1.19367012615407,0.689030818977693,0.490803873479272,0.997481675014976
"gene34",8.35448773319628,-3.99429800141255,1.76004853104006,-2.26942492264814,0.0232424980227341,0.997481675014976
