r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,TRANCE,46,-0.0803208731694528,0.0283818972032849,-0.135948369500809,-0.0246933768380964,0.00465474705903432,IVW
0.05,1,TRANCE,46,-0.0414103518277551,0.0612946768680879,-0.161545710933228,0.0787250072777176,0.499298079995457,PCA_0.90
0.05,1,TRANCE,46,-0.0577026998810588,0.0443056215608925,-0.144540122453069,0.0291347226909519,0.192786944269613,PCA_0.99
0.05,1,TRANCE,46,-0.0563555820119856,0.0493762702863326,-0.153131293464113,0.0404201294401415,0.253724505690159,MR_Egger
0.05,1,TRANCE,46,-0.00211124794270402,0.00357082046634216,-0.00910992745199317,0.00488743156658513,0.554352861515367,EggerInt
0.05,0.01,TRANCE,17,-0.0979171829495523,0.0331632137195614,-0.162915887451497,-0.0329184784476073,0.00315126050740751,IVW
0.05,0.01,TRANCE,17,-0.024831420072488,0.0604260187576523,-0.143264240566628,0.0936014004216522,0.681117114388047,PCA_0.90
0.05,0.01,TRANCE,17,-0.0515707039328353,0.0395240727281833,-0.129036463002416,0.0258950551367458,0.191963597539597,PCA_0.99
0.05,0.01,TRANCE,17,-0.0178210420589693,0.091920292593338,-0.197981504990296,0.162339420872357,0.846273799145564,MR_Egger
0.05,0.01,TRANCE,17,-0.00846466765893118,0.00879584215588326,-0.0257042014981615,0.00877486618029916,0.335874450991973,EggerInt
0.05,0.001,TRANCE,4,-0.0309464078305437,0.0494450396598887,-0.12785690477808,0.0659640891169927,0.531397017939607,IVW
0.05,0.001,TRANCE,4,-0.0184314673693985,0.0705648743187271,-0.156736079607699,0.119873144868902,0.793939128336721,PCA_0.90
0.05,0.001,TRANCE,4,-0.0304479295229508,0.0507249282644696,-0.129866962039689,0.0689711029937875,0.548335808609927,PCA_0.99
0.05,0.001,TRANCE,4,-0.361690278712948,4.54414962766321,-9.26805988929393,8.54467933186804,0.936559601469521,MR_Egger
0.05,0.001,TRANCE,4,0.0415996642808765,0.570872893457651,-1.07729064664629,1.16048997520804,0.941909348786671,EggerInt
0.05,1e-04,TRANCE,4,-0.0309464078305437,0.0494450396598887,-0.12785690477808,0.0659640891169927,0.531397017939607,IVW
0.05,1e-04,TRANCE,4,-0.0184314673693985,0.0705648743187271,-0.156736079607699,0.119873144868902,0.793939128336721,PCA_0.90
0.05,1e-04,TRANCE,4,-0.0304479295229508,0.0507249282644696,-0.129866962039689,0.0689711029937875,0.548335808609927,PCA_0.99
0.05,1e-04,TRANCE,4,-0.361690278712948,4.54414962766321,-9.26805988929393,8.54467933186804,0.936559601469521,MR_Egger
0.05,1e-04,TRANCE,4,0.0415996642808765,0.570872893457651,-1.07729064664629,1.16048997520804,0.941909348786671,EggerInt
0.05,1e-05,TRANCE,3,-0.0235110589559984,0.0561192097973772,-0.133502688999705,0.0864805710877083,0.675253768121843,IVW
0.05,1e-05,TRANCE,3,-0.00320631645070448,0.0871700315450904,-0.174056438810302,0.167643805908893,0.97065856693379,PCA_0.90
0.05,1e-05,TRANCE,3,-0.0149921619204209,0.0629288470918019,-0.138330435808981,0.108346111968139,0.811695036062304,PCA_0.99
0.05,1e-05,TRANCE,3,-0.280125634764501,4.51934711440424,-9.13788321263183,8.57763194310283,0.950575851492464,MR_Egger
0.05,1e-05,TRANCE,3,0.0317312814620112,0.558369225962969,-1.06265229150091,1.12611485442494,0.954681816743466,EggerInt
0.05,5e-08,TRANCE,3,-0.0235110589559984,0.0561192097973772,-0.133502688999705,0.0864805710877083,0.675253768121843,IVW
0.05,5e-08,TRANCE,3,-0.00320631645070448,0.0871700315450904,-0.174056438810302,0.167643805908893,0.97065856693379,PCA_0.90
0.05,5e-08,TRANCE,3,-0.0149921619204209,0.0629288470918019,-0.138330435808981,0.108346111968139,0.811695036062304,PCA_0.99
0.05,5e-08,TRANCE,3,-0.280125634764501,4.51934711440424,-9.13788321263183,8.57763194310283,0.950575851492464,MR_Egger
0.05,5e-08,TRANCE,3,0.0317312814620112,0.558369225962969,-1.06265229150091,1.12611485442494,0.954681816743466,EggerInt
0.1,1,TRANCE,56,-0.0434681731526758,0.0259408746317286,-0.0943113531583325,0.00737500685298095,0.0938041504791097,IVW
0.1,1,TRANCE,56,-0.0283563942162358,0.0631537124584316,-0.15213539612476,0.0954226076922886,0.653427346653823,PCA_0.90
0.1,1,TRANCE,56,-0.0981166464055246,0.0408028736416672,-0.178088809208931,-0.0181444836021183,0.0161879435953727,PCA_0.99
0.1,1,TRANCE,56,0.00146539902680724,0.039344284732546,-0.0756479820464721,0.0785787801000866,0.970289230221256,MR_Egger
0.1,1,TRANCE,56,-0.00389648983962243,0.00261141362894899,-0.0090147665010995,0.00122178682185463,0.135672975674298,EggerInt
0.1,0.01,TRANCE,20,-0.0743688251427068,0.0325825753508885,-0.138229499354011,-0.0105081509314028,0.022461472066239,IVW
0.1,0.01,TRANCE,20,-0.0301435136162061,0.0606380230915539,-0.14899185496936,0.0887048277369477,0.619114437365769,PCA_0.90
0.1,0.01,TRANCE,20,-0.0562579685303219,0.0346912271172621,-0.124251524259655,0.0117355871990111,0.104872504924296,PCA_0.99
0.1,0.01,TRANCE,20,-0.0662142761981177,0.0963495089556507,-0.255055843679312,0.122627291283077,0.49193778159991,MR_Egger
0.1,0.01,TRANCE,20,-0.000959510968519861,0.0103206332340288,-0.0211875804048635,0.0192685584678238,0.925927263893996,EggerInt
0.1,0.001,TRANCE,6,-0.0445196866868505,0.044667209706951,-0.132065809002372,0.0430264356286714,0.318911467467981,IVW
0.1,0.001,TRANCE,6,-0.00844926393013459,0.0811669640061114,-0.167533590116572,0.150635062256303,0.917092112702092,PCA_0.90
0.1,0.001,TRANCE,6,-0.0254911132132,0.0561740695546393,-0.135590266405341,0.0846080399789409,0.649981491430129,PCA_0.99
0.1,0.001,TRANCE,6,0.0245781958830417,0.495249322072749,-0.946092638747424,0.995249030513507,0.960418893642659,MR_Egger
0.1,0.001,TRANCE,6,-0.00777999806428568,0.0541069450233742,-0.113827661623588,0.0982676654950165,0.885666877035404,EggerInt
0.1,1e-04,TRANCE,4,-0.0309464078305437,0.0494450396598887,-0.12785690477808,0.0659640891169927,0.531397017939607,IVW
0.1,1e-04,TRANCE,4,-0.0184314673693985,0.0705648743187271,-0.156736079607699,0.119873144868902,0.793939128336721,PCA_0.90
0.1,1e-04,TRANCE,4,-0.0304479295229508,0.0507249282644696,-0.129866962039689,0.0689711029937875,0.548335808609927,PCA_0.99
0.1,1e-04,TRANCE,4,-0.361690278712948,4.54414962766321,-9.26805988929393,8.54467933186804,0.936559601469521,MR_Egger
0.1,1e-04,TRANCE,4,0.0415996642808765,0.570872893457651,-1.07729064664629,1.16048997520804,0.941909348786671,EggerInt
0.1,1e-05,TRANCE,3,-0.0235110589559984,0.0561192097973772,-0.133502688999705,0.0864805710877083,0.675253768121843,IVW
0.1,1e-05,TRANCE,3,-0.00320631645070448,0.0871700315450904,-0.174056438810302,0.167643805908893,0.97065856693379,PCA_0.90
0.1,1e-05,TRANCE,3,-0.0149921619204209,0.0629288470918019,-0.138330435808981,0.108346111968139,0.811695036062304,PCA_0.99
0.1,1e-05,TRANCE,3,-0.280125634764501,4.51934711440424,-9.13788321263183,8.57763194310283,0.950575851492464,MR_Egger
0.1,1e-05,TRANCE,3,0.0317312814620112,0.558369225962969,-1.06265229150091,1.12611485442494,0.954681816743466,EggerInt
0.1,5e-08,TRANCE,3,-0.0235110589559984,0.0561192097973772,-0.133502688999705,0.0864805710877083,0.675253768121843,IVW
0.1,5e-08,TRANCE,3,-0.00320631645070448,0.0871700315450904,-0.174056438810302,0.167643805908893,0.97065856693379,PCA_0.90
0.1,5e-08,TRANCE,3,-0.0149921619204209,0.0629288470918019,-0.138330435808981,0.108346111968139,0.811695036062304,PCA_0.99
0.1,5e-08,TRANCE,3,-0.280125634764501,4.51934711440424,-9.13788321263183,8.57763194310283,0.950575851492464,MR_Egger
0.1,5e-08,TRANCE,3,0.0317312814620112,0.558369225962969,-1.06265229150091,1.12611485442494,0.954681816743466,EggerInt
0.2,1,TRANCE,82,-0.0906774111350345,0.023249731029058,-0.136246046602232,-0.0451087756678374,9.61335757242776e-05,IVW
0.2,1,TRANCE,82,-0.0095273242804184,0.0400434611738414,-0.0880110659974755,0.0689564174366387,0.81193957917193,PCA_0.90
0.2,1,TRANCE,82,-0.0513861793033234,0.0312474121637749,-0.112629981754401,0.00985762314775424,0.100074219270217,PCA_0.99
0.2,1,TRANCE,82,-0.0521673454156073,0.0254885461775782,-0.102123977941947,-0.00221071288926798,0.0406877884222161,MR_Egger
0.2,1,TRANCE,82,-0.00279268817305955,0.00123332167844644,-0.00520995424416707,-0.00037542210195203,0.0235517878614437,EggerInt
0.2,0.01,TRANCE,26,-0.0707881979622231,0.0278631226841939,-0.125398914920064,-0.0161774810043821,0.0110672114791026,IVW
0.2,0.01,TRANCE,26,0.000519394690958634,0.0397424652212467,-0.0773744057995206,0.0784131951814379,0.989572735212318,PCA_0.90
0.2,0.01,TRANCE,26,-0.0299545494124973,0.0291069792144569,-0.0870031803715887,0.0270940815465942,0.303423693168948,PCA_0.99
0.2,0.01,TRANCE,26,4.27770456571396e-05,0.041153167894256,-0.0806159498768146,0.0807015039681289,0.999170631572569,MR_Egger
0.2,0.01,TRANCE,26,-0.00594359119302675,0.00271324802250909,-0.0112614595982691,-0.000625722787784403,0.028482083903882,EggerInt
0.2,0.001,TRANCE,10,-0.0157603389485543,0.0311154549597871,-0.0767455100323153,0.0452248321352066,0.612497546839128,IVW
0.2,0.001,TRANCE,10,-0.00725728701218253,0.0397558107294285,-0.0851772442180534,0.0706626701936883,0.85515380820754,PCA_0.90
0.2,0.001,TRANCE,10,-0.0180209889594052,0.0329025380554994,-0.0825087785481425,0.0464668006293321,0.583892300265856,PCA_0.99
0.2,0.001,TRANCE,10,-0.181362349498937,0.172993374632501,-0.520423133342684,0.157698434344811,0.294464748008553,MR_Egger
0.2,0.001,TRANCE,10,0.0196314493979951,0.0198303468151727,-0.0192353161606819,0.0584982149566721,0.322188758963593,EggerInt
0.2,1e-04,TRANCE,7,-0.0213416854898293,0.0321856344539643,-0.0844243698391708,0.0417409988595123,0.507278622664155,IVW
0.2,1e-04,TRANCE,7,-0.0408549015872954,0.0497408525993521,-0.138345181242341,0.0566353780677502,0.411444046631614,PCA_0.90
0.2,1e-04,TRANCE,7,-0.0243683670810691,0.0368691473248203,-0.0966305679784181,0.04789383381628,0.508649525386869,PCA_0.99
0.2,1e-04,TRANCE,7,-0.273229097504918,0.540460368426224,-1.33251195469157,0.786053759681731,0.613173423348048,MR_Egger
0.2,1e-04,TRANCE,7,0.0297187177011719,0.0629858352381406,-0.0937312509017574,0.153168686304101,0.637046877028882,EggerInt
0.2,1e-05,TRANCE,6,-0.0185127618268436,0.0335726139138772,-0.0843138759649112,0.0472883523112239,0.58134270980212,IVW
0.2,1e-05,TRANCE,6,-0.0340448540897132,0.0512440726826518,-0.134481390968864,0.0663916827894372,0.506455657600329,PCA_0.90
0.2,1e-05,TRANCE,6,-0.0194601756055745,0.0388609218673513,-0.0956261828716081,0.0567058316604591,0.616536772924977,PCA_0.99
0.2,1e-05,TRANCE,6,-0.273509788515739,0.50408278579003,-1.26149389389082,0.714474316859338,0.587412795395654,MR_Egger
0.2,1e-05,TRANCE,6,0.0297464901794387,0.0580837328121926,-0.084095534220106,0.143588514578984,0.608559209304359,EggerInt
0.2,5e-08,TRANCE,5,-0.019565934908986,0.0335820492993733,-0.0853855420628062,0.0462536722448342,0.560141893549212,IVW
0.2,5e-08,TRANCE,5,-0.0267685872173823,0.0488926954562266,-0.122596509418672,0.0690593349839068,0.584037567903564,PCA_0.90
0.2,5e-08,TRANCE,5,-0.02371520626698,0.0395600963324539,-0.101251570303525,0.0538211577695646,0.548857566400078,PCA_0.99
0.2,5e-08,TRANCE,5,0.0626743170979062,1.709150078601,-3.28719828113385,3.41254691532966,0.970748229980358,MR_Egger
